company_id,company_name,headline,url,date,snippet,full_summary
accelon-consulting-741d99,Accelon Consulting,AccelonConsulting| LinkedIn,https://www.linkedin.com/company/accelonconsulting,,"AccelonConsulting| 102,151 followers on LinkedIn.They’re particularly interested in professionals with backgrounds in Procurement or Supply Chain Advisory from leading consulting firms — Big Four, Kearney, Accenture, GEP, or similar global strategy groups.",
accelon-consulting-741d99,Accelon Consulting,Empowering Businesses with Smart Talent... |AccelonConsulting,https://www.accelonconsulting.com/,,"AccelonConsultingdelivers flexible, high-performing talent solutions through strategic models that help organizations innovate, scale, and achieve success.",
accelon-consulting-741d99,Accelon Consulting,Project/Program Manager V —AccelonConsulting· JobTailor,https://jobtailor.co/company/accelon-consulting/jobs/491245-project-program-manager-v,,"AccelonConsulting. Project/Program Manager V.Exceptional program management, stakeholder alignment, and communication skills. Comfort operating at senior levels while also diving into details when needed. Experience managing external consulting partners highly preferred.",
accelon-consulting-741d99,Accelon Consulting,"Software engineer -AccelonConsulting(Pune, Maharashtra)",https://labor24.in/software-engineer_pune-c278318/software-engineer_i3852451727,,"AccelonConsultingPune, Maharashtra, IN. Published 2026-02-25.Identify, track and solve application problemsraisedvia dedicated incident management tool. Progressive maintain and built knowledge base documentation for technical troubleshooting and best practices.",
accelon-consulting-741d99,Accelon Consulting,Hrconsultingservices company job offers in bangalore... - Trovit,"https://jobs.trovit.co.in/hr-consulting-services-company-jobs-in-bangalore,-karnataka",,"ACCELON PREMIERE CONSULTANTS Bangalore, Karnataka +1 Location.AccelonConsultingis a leading Staff Augmentation company, working with clients across the US, India, Canada, and LATAM. We have the capability to offer...",
accelon-consulting-741d99,Accelon Consulting,Accelon Consulting hiring Datacenter Technician (Mac ...,https://www.linkedin.com/jobs/view/datacenter-technician-mac-networking-at-accelon-consulting-4381690062,,5 days ago ·See whoAccelon Consultinghas hired for this role We are seeking a highly skilled Data Center Technician to support and maintain our Mac-based compute infrastructure and associated data center ...,
accelon-consulting-741d99,Accelon Consulting,"CTO Jobs, Employment | Indeed",https://www.indeed.com/q-CTO-jobs.html,,"2,956 CTO jobs available onIndeed.com. Apply to Chief Technology Officer, Director of Technology, Director of Information Technology and more!",
birchbox-f40bd7,Birchbox,"The rise and fall of Birchbox, the once-buzzy startup that was sold off twice in 2 years and has recently resumed shipping boxes",https://www.yahoo.com/news/rise-fall-birchbox-once-buzzy-124500471.html,2023-09-12T13:53:00+00:00,Add Yahoo as a preferred source to see more of our stories on Google. Birchbox was acquired 10 years after launch for just $45 million.Daniel Boczarski/Getty Images Birchbox pioneered the monthly beauty subscription box and was once valued at nearly $500 ...,
birchbox-f40bd7,Birchbox,Walgreens to launch in-store pilot with Birchbox,https://www.retail-week.com/health-and-beauty/walgreens-to-launch-in-store-pilot-with-birchbox/7030039.article,2018-10-04T00:00:00+00:00,US pharmacy giant Walgreens has acquired a minority stake in beauty subscription business Birchbox and will trial selling the beauty etailer's range in-store. Walgreens will launch a curated Birchbox shop on its ecommerce website and pilot selling the ...,
birchbox-f40bd7,Birchbox,Cash-strapped Birchbox raises $15m from investors,https://www.retaildive.com/news/cash-strapped-birchbox-raises-15m-from-investors/423768/,2016-08-03T00:00:00+00:00,"Beauty subscription retailer Birchbox has raised $15 million from current backers, Recode reports. The funding is coming in the form of a convertible note, a loan that morphs into an equity stake. The company also has access to a several-million dollar ...",
birchbox-f40bd7,Birchbox,Birchbox gets $15M from inside investors to stay afloat,https://mashable.com/article/birchbox-15-million-funding,2016-08-02T00:00:00+00:00,"The original subscription service needs a lifeline. Birchbox, the once-buzzy beauty startup, raised $15 million in additional funding from current investors in an effort to stave off a cash flow problem, Recode reported. The money is needed to shore up the ...",
birchbox-f40bd7,Birchbox,Birchbox grabs $60 million in Series B funding,https://www.retaildive.com/news/birchbox-grabs-60-million-in-series-b-funding/253935/,2014-04-22T00:00:00+00:00,"Subscription and e-commerce cosmetics retailer Birchbox has raised $60 million in Series B funding, the company announced this week. The company, which launched in 2010, will use the funds to invest in marketing efforts, its mobile app, and to expand its ...",
birchbox-f40bd7,Birchbox,Beauty startup Birchbox lands $60M in funding,https://www.cnet.com/tech/services-and-software/birchbox-closes-60-million-series-b-funding-round/,2014-04-21T15:12:00+00:00,Birchbox plans to use the funds to gain ground in the beauty industry and expand the reach of its sample-filled boxes. CNET contributor Don Reisinger is a technology columnist who has covered everything from HDTVs to computers to Flowbee Haircut Systems.,
birchbox-f40bd7,Birchbox,"BirchboxCompany Information -Funding, Investors, and More",https://www.seedtable.com/startups/Birchbox-MKB65M,,Fundingseries.FundingSeriesAnalysis. The companyBirchboxhasraiseda total of $11.9m infundingover 3 rounds. Key Insights:BirchboxSeriesA round: $10.5m.,
birchbox-f40bd7,Birchbox,"Birchbox-Funding, Financials, Valuation & Investors",https://www.crunchbase.com/organization/birchbox/company_financials,,"Their latestfundingwasraisedon Apr 20, 2020 from aSeriesD round.Birchboxisfundedby 25 investors. Walgreens Boots Alliance and Armentum Partners are the most recent investors.Birchboxhas acquired JolieBox on Sep 13, 2012.",
birchbox-f40bd7,Birchbox,TheBirchboxBusiness Model – How DoesBirchboxMake Money?,https://productmint.com/birchbox-business-model-how-does-birchbox-make-money/,,"Birchboxmakes money via subscription fees, sales from its store, as well as advertising and sales of aggregated data. Founded in 2010,Birchboxhasraisedover $97 million infunding.",
birchbox-f40bd7,Birchbox,Birchboxsells majority stake to longtime investor | Retail Dive,https://www.retaildive.com/news/birchbox-sells-majority-stake-to-longtime-investor/522642/,,"Since its launch in 2010,Birchboxhasraisednearly $90 million from investors and was once valued at nearly $500 million, according to Recode.After struggling toraisemorefunding,Birchboxpulled back plans for growth and underwent several rounds of layoffs.",
birchbox-f40bd7,Birchbox,BirchboxRaises$60M to Make Beauty Products Go Viral - WSJ,https://www.wsj.com/articles/BL-VCDB-14395,,"BirchboxInc. , a startup that delivers a monthly selection of beauty products to members for a fee, hasraised$60 million in a new round of venturefundingled by Viking Global Investors and joined by the company's earlier backers.",
birchbox-f40bd7,Birchbox,Birchbox - Wikipedia,https://en.wikipedia.org/wiki/Birchbox,,"January 16, 2026 -As of 2014, Birchbox was valued at $485 million. In October, it partnered with Soldsie to launch its first Instagram shop. The shop allows Instagram users interested in Birchbox products to purchase directly through Instagram by leaving a comment on a photo with the hashtag #birchboxcart.",
birchbox-f40bd7,Birchbox,How Birchbox’s Subscription Model Campaign revolutionized the beauty and grooming industry with its innovative subscription model. | Digital Marketing Consultant & Expert Akshat Singh Bisht,https://akshatsinghbisht.com/how-birchboxs-subscription-model-campaign-revolutionized-the-beauty-and-grooming-industry-with-its-innovative-subscription-model/,,"July 20, 2024 -Brand Collaborations: Finalized agreements with beauty brands for product sampling and cross-promotional opportunities. ... Objective: Generate excitement and awareness about Birchbox’s subscription service. Press Release: Issued a press release announcing the launch of Birchbox’s subscription model, highlighting its unique value proposition and key features.",
